,edge,snapshot_popularity
0,Vaal Orb-Chaos Orb,65.53536515238643
1,Cartographer's Chisel-Chaos Orb,59.46808510638298
2,Chaos Orb-Orb of Fusing,56.6843013225992
3,Chaos Orb-Regal Orb,49.54226566992524
4,Orb of Alchemy-Chaos Orb,48.89764232317424
5,Chaos Orb-Chromatic Orb,44.35020126509488
6,Chromatic Orb-Chaos Orb,44.30132259919494
7,Chaos Orb-Jewellers Orb,40.61989649223692
8,Orb of Alteration-Chaos Orb,35.5830937320299
9,Orb of Fusing-Chaos Orb,35.185163887291544
10,Chaos Orb-Exalted Orb,34.120759056929266
11,Chaos Orb-Orb of Alchemy,33.79470960322024
12,Chaos Orb-Vaal Orb,32.80333525014376
13,Jewellers Orb-Chaos Orb,31.98734905117884
14,Orb of Scouring-Chaos Orb,28.533640023001727
15,Chaos Orb-Orb of Alteration,27.918343875790683
16,Chaos Orb-Orb of Regret,26.55779183438758
17,Chaos Orb-Gemcutter's Prism,26.09948246118459
18,Orb of Alteration-Orb of Scouring,21.89074180563542
19,Chaos Orb-Orb of Scouring,19.24381828637148
20,Orb of Chance-Chaos Orb,19.002875215641172
21,Chromatic Orb-Jewellers Orb,16.522139160437032
22,Exalted Orb-Chaos Orb,15.845313398504889
23,Orb of Regret-Chaos Orb,15.753881541115584
24,Chaos Orb-Orb of Chance,15.460034502587694
25,Gemcutter's Prism-Chaos Orb,15.215066129959746
26,Chaos Orb-Cartographer's Chisel,14.2541690626797
27,Chromatic Orb-Orb of Alteration,12.248418631397355
28,Regal Orb-Chaos Orb,12.009200690051754
29,Orb of Fusing-Chromatic Orb,11.470960322024151
30,Orb of Alteration-Vaal Orb,11.446808510638299
31,Chaos Orb-Divine Orb,11.141460609545716
32,Orb of Fusing-Vaal Orb,10.914318573893041
33,Orb of Fusing-Cartographer's Chisel,10.36227717078781
34,Jewellers Orb-Orb of Alteration,9.390454284071305
35,Orb of Fusing-Orb of Alteration,8.918343875790685
36,Gemcutter's Prism-Vaal Orb,8.913743530764807
37,Regal Orb-Orb of Alteration,8.879815986198965
38,Regal Orb-Orb of Alchemy,8.858539390454284
39,Orb of Alchemy-Vaal Orb,8.810235767682576
40,Regal Orb-Chromatic Orb,8.775158136860265
41,Jewellers Orb-Chromatic Orb,8.747556066705004
42,Orb of Alchemy-Cartographer's Chisel,8.63887291546866
43,Orb of Fusing-Orb of Alchemy,8.617021276595745
44,Jewellers Orb-Vaal Orb,8.57906843013226
45,Orb of Alteration-Exalted Orb,8.558941920644049
46,Exalted Orb-Cartographer's Chisel,8.534790109258195
47,Chromatic Orb-Cartographer's Chisel,8.36975273145486
48,Jewellers Orb-Orb of Fusing,8.112708453133985
49,Jewellers Orb-Cartographer's Chisel,8.085681426106959
50,Orb of Fusing-Orb of Scouring,7.852788959171938
51,Jewellers Orb-Orb of Alchemy,7.815986198964922
52,Orb of Fusing-Exalted Orb,7.639447958596895
53,Orb of Regret-Orb of Alchemy,7.591144335825187
54,Chromatic Orb-Orb of Alchemy,7.174813110983323
55,Regal Orb-Vaal Orb,7.110983323749281
56,Orb of Alchemy-Orb of Alteration,7.058079355951697
57,Exalted Orb-Orb of Fusing,6.969522714203565
58,Orb of Scouring-Orb of Alchemy,6.966647498562392
59,Vaal Orb-Orb of Alchemy,6.927544565842438
60,Cartographer's Chisel-Orb of Alchemy,6.891891891891892
61,Exalted Orb-Vaal Orb,6.811385853939045
62,Divine Orb-Chaos Orb,6.72225416906268
63,Vaal Orb-Orb of Alteration,6.645198389879241
64,Regal Orb-Orb of Chance,6.515813686026452
65,Orb of Chance-Orb of Alchemy,6.427257044278321
66,Gemcutter's Prism-Orb of Alchemy,6.277170787809085
67,Orb of Alchemy-Chromatic Orb,6.163887291546866
68,Orb of Alchemy-Orb of Scouring,6.09085681426107
69,Orb of Alchemy-Orb of Fusing,6.069580218516388
70,Orb of Fusing-Orb of Chance,6.045428407130535
71,Orb of Alteration-Orb of Alchemy,6.045428407130535
72,Orb of Scouring-Vaal Orb,6.02357676825762
73,Orb of Alteration-Divine Orb,5.963772282921219
74,Regal Orb-Cartographer's Chisel,5.86428982173663
75,Chromatic Orb-Orb of Fusing,5.842438182863715
76,Orb of Regret-Vaal Orb,5.832087406555492
77,Vaal Orb-Chromatic Orb,5.755031627372053
78,Exalted Orb-Gemcutter's Prism,5.748706152961472
79,Gemcutter's Prism-Cartographer's Chisel,5.658424381828637
80,Cartographer's Chisel-Orb of Alteration,5.656124209315698
81,Vaal Orb-Cartographer's Chisel,5.649798734905118
82,Regal Orb-Gemcutter's Prism,5.58654399079931
83,Vaal Orb-Orb of Fusing,5.55664174813111
84,Orb of Alchemy-Regal Orb,5.529614721104083
85,Orb of Alchemy-Exalted Orb,5.484761357101783
86,Orb of Alteration-Cartographer's Chisel,5.306497987349051
87,Exalted Orb-Regal Orb,5.225991949396205
88,Chromatic Orb-Vaal Orb,5.1868890166762505
89,Orb of Regret-Orb of Alteration,5.1817136285221395
90,Orb of Chance-Orb of Alteration,5.116158711903393
91,Orb of Scouring-Orb of Fusing,5.066705002875215
92,Vaal Orb-Jewellers Orb,4.959171937895342
