,edge,snapshot_popularity
0,Orb of Alteration-Chaos Orb,0.5417376490630323
1,Chaos Orb-Orb of Alchemy,0.5190232822260079
2,Orb of Alchemy-Orb of Alteration,0.504258943781942
3,Orb of Chance-Chaos Orb,0.3855763770584895
4,Chaos Orb-Orb of Chance,0.1465076660988075
5,Chaos Orb-Chromatic Orb,0.11527541169789893
6,Chromatic Orb-Orb of Chance,0.07779670641680864
7,Chaos Orb-Orb of Alteration,0.06700738216922203
8,Orb of Alteration-Orb of Chance,0.06189664963089154
9,Chaos Orb-Jewellers Orb,0.059625212947189095
10,Jewellers Orb-Orb of Chance,0.056218057921635436
11,Chaos Orb-Orb of Fusing,0.044293015332197615
12,Orb of Fusing-Chaos Orb,0.03861442362294151
13,Chromatic Orb-Orb of Alteration,0.03747870528109029
14,Orb of Scouring-Orb of Chance,0.027257240204429302
15,Chaos Orb-Orb of Scouring,0.027257240204429302
16,Orb of Fusing-Orb of Chance,0.02612152186257808
17,Orb of Alchemy-Chaos Orb,0.014764338444065871
18,Orb of Chance-Orb of Fusing,0.01192504258943782
19,Divine Orb-Chaos Orb,0.0056785917092561046
20,Orb of Alteration-Orb of Fusing,0.005110732538330494
21,Exalted Orb-Divine Orb,0.004542873367404884
22,Chaos Orb-Exalted Orb,0.004542873367404884
23,Jewellers Orb-Orb of Fusing,0.0034071550255536627
24,Chaos Orb-Divine Orb,0.0028392958546280523
25,Divine Orb-Orb of Chance,0.0017035775127768314
