,edge,snapshot_popularity
0,Chaos Orb-Jewellers Orb,3.9648829431438126
1,Jewellers Orb-Chaos Orb,3.891861761426979
2,Chaos Orb-Orb of Alchemy,3.117614269788183
3,Orb of Alteration-Chaos Orb,2.7876254180602005
4,Orb of Alchemy-Chaos Orb,2.758082497212932
5,Orb of Fusing-Chaos Orb,2.725752508361204
6,Chaos Orb-Orb of Fusing,2.612597547380156
7,Chaos Orb-Orb of Chance,2.225752508361204
8,Orb of Chance-Jewellers Orb,1.8890746934225195
9,Jewellers Orb-Orb of Alteration,1.8623188405797102
10,Regal Orb-Chaos Orb,1.693979933110368
11,Chaos Orb-Regal Orb,1.5858416945373468
12,Jewellers Orb-Orb of Alchemy,1.4810479375696768
13,Orb of Alchemy-Orb of Fusing,1.3121516164994427
14,Chaos Orb-Exalted Orb,1.1755852842809364
15,Chaos Orb-Orb of Alteration,1.0061315496098104
16,Chaos Orb-Chromatic Orb,0.9832775919732442
17,Vaal Orb-Chaos Orb,0.9810479375696767
18,Orb of Regret-Chaos Orb,0.9520624303232998
19,Cartographer's Chisel-Chaos Orb,0.9342251950947603
20,Chromatic Orb-Chaos Orb,0.8985507246376812
21,Chaos Orb-Cartographer's Chisel,0.8835005574136009
22,Chaos Orb-Orb of Regret,0.6755852842809364
23,Chaos Orb-Gemcutter's Prism,0.649386845039019
24,Orb of Scouring-Chaos Orb,0.6399108138238573
25,Orb of Fusing-Orb of Alchemy,0.6148272017837235
26,Chromatic Orb-Jewellers Orb,0.5546265328874025
27,Gemcutter's Prism-Chaos Orb,0.5301003344481605
28,Chaos Orb-Orb of Scouring,0.5178372352285395
29,Orb of Alchemy-Jewellers Orb,0.5105908584169454
30,Exalted Orb-Chaos Orb,0.4944258639910814
31,Orb of Alchemy-Orb of Regret,0.48606465997770343
32,Chaos Orb-Vaal Orb,0.44648829431438125
33,Orb of Chance-Chaos Orb,0.3701226309921962
34,Divine Orb-Chaos Orb,0.3573021181716834
35,Orb of Alteration-Regal Orb,0.3500557413600892
36,Orb of Fusing-Jewellers Orb,0.2993311036789298
37,Orb of Regret-Orb of Alchemy,0.2870680044593088
38,Orb of Fusing-Exalted Orb,0.2725752508361204
39,Orb of Regret-Orb of Fusing,0.2408026755852843
40,Exalted Orb-Orb of Fusing,0.2329988851727982
