,edge,snapshot_popularity
0,Vaal Orb-Chaos Orb,11.493454752418895
1,Chaos Orb-Exalted Orb,9.543540125213433
2,Chaos Orb-Orb of Alchemy,8.881047239612977
3,Exalted Orb-Gemcutter's Prism,8.200341491178145
4,Chaos Orb-Orb of Fusing,7.7734775184974385
5,Vaal Orb-Exalted Orb,7.369379624359704
6,Chromatic Orb-Chaos Orb,7.184405236198065
7,Orb of Fusing-Chaos Orb,7.033010813887308
8,Exalted Orb-Chaos Orb,6.900398406374502
9,Orb of Alchemy-Vaal Orb,6.454752418895845
10,Exalted Orb-Orb of Fusing,5.09447922595333
11,Chaos Orb-Orb of Alteration,5.010813887307911
12,Orb of Chance-Vaal Orb,4.920318725099602
13,Exalted Orb-Orb of Alchemy,4.233352305065453
14,Chaos Orb-Chromatic Orb,4.170745589072283
15,Chaos Orb-Cartographer's Chisel,3.9698349459305633
16,Chaos Orb-Jewellers Orb,3.8952760387023337
17,Orb of Alteration-Chaos Orb,3.551508252703472
18,Chaos Orb-Orb of Chance,3.3375071143995445
19,Orb of Fusing-Orb of Regret,3.116107000569152
20,Jewellers Orb-Chaos Orb,3.0967558338076264
21,Chaos Orb-Vaal Orb,2.99601593625498
22,Orb of Regret-Chaos Orb,2.887877063175868
23,Orb of Alchemy-Chaos Orb,2.7518497438816163
24,Orb of Alchemy-Chromatic Orb,2.6146841206602165
25,Cartographer's Chisel-Chaos Orb,2.6107000569151966
26,Exalted Orb-Orb of Chance,2.607854297097325
27,Chaos Orb-Gemcutter's Prism,2.5987478656801364
28,Orb of Fusing-Exalted Orb,2.406374501992032
29,Chromatic Orb-Exalted Orb,2.371656232214001
30,Gemcutter's Prism-Chaos Orb,2.2566875355719977
31,Orb of Alchemy-Orb of Alteration,2.1417188389299944
32,Orb of Chance-Chaos Orb,2.0990324416619237
33,Orb of Fusing-Vaal Orb,1.9516220830961868
34,Chaos Orb-Divine Orb,1.8542970973249857
35,Orb of Scouring-Chaos Orb,1.8389299943084803
36,Orb of Regret-Exalted Orb,1.6869664200341492
37,Cartographer's Chisel-Exalted Orb,1.649402390438247
38,Jewellers Orb-Exalted Orb,1.6437108708025043
39,Orb of Alteration-Exalted Orb,1.5549231644849175
40,Orb of Alteration-Orb of Chance,1.5321570859419464
41,Cartographer's Chisel-Vaal Orb,1.472965281730222
42,Gemcutter's Prism-Orb of Fusing,1.3357996585088219
43,Gemcutter's Prism-Vaal Orb,1.244735344336938
44,Orb of Alteration-Vaal Orb,1.2168468981217986
45,Divine Orb-Chaos Orb,1.205463858850313
46,Regal Orb-Chaos Orb,1.1997723392145703
47,Exalted Orb-Jewellers Orb,1.1548093340922025
48,Gemcutter's Prism-Orb of Regret,1.1451337507114399
49,Gemcutter's Prism-Orb of Alchemy,1.0728514513375071
50,Divine Orb-Exalted Orb,1.0671599317017644
51,Orb of Alchemy-Exalted Orb,1.029026750142288
52,Orb of Alteration-Orb of Augmentation,0.9943084803642572
53,Exalted Orb-Cartographer's Chisel,0.9891861126920888
54,Orb of Alteration-Divine Orb,0.9368241320432555
55,Chaos Orb-Regal Orb,0.9311326124075128
56,Chaos Orb-Orb of Scouring,0.8673875924871941
57,Exalted Orb-Vaal Orb,0.8594194649971543
58,Chaos Orb-Orb of Regret,0.8480364257256687
59,Gemcutter's Prism-Jewellers Orb,0.8372225384177575
60,Orb of Augmentation-Chaos Orb,0.8315310187820149
61,Gemcutter's Prism-Regal Orb,0.765509391007399
62,Vaal Orb-Orb of Fusing,0.7472965281730222
63,Jewellers Orb-Chromatic Orb,0.7108708025042686
64,Orb of Fusing-Orb of Scouring,0.7103016505406944
65,Regal Orb-Exalted Orb,0.707455890722823
66,Gemcutter's Prism-Chromatic Orb,0.6892430278884463
67,Gemcutter's Prism-Divine Orb,0.659647125782584
68,Chromatic Orb-Orb of Alteration,0.5628912919749574
69,Gemcutter's Prism-Exalted Orb,0.560045532157086
70,Jewellers Orb-Orb of Fusing,0.5520774046670461
71,Gemcutter's Prism-Cartographer's Chisel,0.549800796812749
72,Exalted Orb-Orb of Regret,0.5475241889584519
73,Orb of Chance-Exalted Orb,0.5258964143426295
74,Orb of Fusing-Orb of Alteration,0.5025611838360843
75,Orb of Fusing-Orb of Alchemy,0.4877632327831531
76,Orb of Regret-Vaal Orb,0.4860557768924303
77,Exalted Orb-Regal Orb,0.4706886738759249
78,Orb of Fusing-Chromatic Orb,0.4479225953329539
79,Vaal Orb-Chromatic Orb,0.42914058053500287
80,Gemcutter's Prism-Orb of Alteration,0.4166192373363688
81,Exalted Orb-Chromatic Orb,0.4137734775184974
82,Orb of Alchemy-Orb of Fusing,0.37677859988616963
83,Jewellers Orb-Orb of Alteration,0.3762094479225953
84,Orb of Alchemy-Divine Orb,0.36710301650540694
85,Vaal Orb-Orb of Alchemy,0.36539556061468415
86,Orb of Alchemy-Gemcutter's Prism,0.363118952760387
87,Divine Orb-Orb of Fusing,0.33636881047239614
88,Divine Orb-Chromatic Orb,0.33124644280022764
89,Exalted Orb-Orb of Scouring,0.3164484917472965
90,Orb of Scouring-Exalted Orb,0.3107569721115538
91,Vaal Orb-Regal Orb,0.309049516220831
92,Orb of Regret-Orb of Fusing,0.30278884462151395
93,Exalted Orb-Divine Orb,0.29823562891291977
94,Orb of Alteration-Orb of Alchemy,0.2857142857142857
95,Cartographer's Chisel-Orb of Alteration,0.2646556630620376
96,Vaal Orb-Orb of Alteration,0.26237905520774046
97,Orb of Regret-Chromatic Orb,0.257256687535572
98,Exalted Orb-Orb of Alteration,0.2521343198634035
99,Gemcutter's Prism-Orb of Chance,0.2504268639726807
100,Orb of Fusing-Jewellers Orb,0.24985771200910642
101,Chromatic Orb-Orb of Alchemy,0.23790552077404667
102,Vaal Orb-Orb of Regret,0.2333523050654525
103,Orb of Alteration-Chromatic Orb,0.23107569721115537
104,Regal Orb-Orb of Alteration,0.2305065452475811
105,Orb of Regret-Gemcutter's Prism,0.22310756972111553
106,Gemcutter's Prism-Orb of Scouring,0.21855435401252135
107,Orb of Alchemy-Cartographer's Chisel,0.21798520204894706
108,Divine Orb-Orb of Alchemy,0.2105862265224815
109,Vaal Orb-Gemcutter's Prism,0.2105862265224815
110,Divine Orb-Orb of Regret,0.20717131474103587
111,Jewellers Orb-Orb of Alchemy,0.20489470688673875
112,Chaos Orb-Orb of Augmentation,0.20091064314171883
113,Divine Orb-Cartographer's Chisel,0.1997723392145703
114,Orb of Chance-Orb of Alteration,0.1997723392145703
