edge,hc_betrayal,betrayal,standard,hardcore
Chaos Orb-Jewellers Orb,5.67578125,74.84409448818897,8.595744680851064,0.007097791798107256
Orb of Fusing-Chaos Orb,4.3484375,187.3,7.4602048857368,0.0007886435331230284
Orb of Alteration-Chaos Orb,4.20078125,252.56220472440944,9.567375886524824,0.015772870662460567
Chaos Orb-Orb of Alteration,3.9765625,132.98740157480316,9.962174940898345,0.017350157728706624
Orb of Alchemy-Chaos Orb,3.41796875,196.18503937007873,12.074862096138691,
Chaos Orb-Orb of Alchemy,3.07890625,172.6984251968504,8.81639085894405,
Chaos Orb-Orb of Fusing,2.96015625,93.0716535433071,16.29787234042553,
Jewellers Orb-Orb of Alteration,2.63515625,31.892913385826773,0.789598108747045,
Chaos Orb-Orb of Scouring,2.19609375,112.31653543307087,2.193853427895981,
Jewellers Orb-Orb of Alchemy,1.9078125,12.297637795275591,0.30969267139479906,
Chromatic Orb-Chaos Orb,1.85859375,134.40551181102362,18.196217494089833,
Jewellers Orb-Chaos Orb,1.7734375,231.83622047244094,8.150512214342001,0.007097791798107256
Chaos Orb-Chromatic Orb,1.6515625,322.2204724409449,24.63593380614657,
Orb of Regret-Chaos Orb,1.6375,145.62913385826772,5.040189125295508,
Gemcutter's Prism-Chaos Orb,1.51328125,66.6244094488189,2.520094562647754,0.03785488958990536
Cartographer's Chisel-Chaos Orb,1.509375,219.70472440944883,11.69109535066982,
Orb of Scouring-Orb of Regret,1.3578125,10.308661417322835,0.3829787234042553,
Vaal Orb-Chaos Orb,1.1765625,148.76850393700786,28.788810086682428,
Orb of Alteration-Gemcutter's Prism,1.0015625,6.165354330708661,0.009456264775413711,
Regal Orb-Chaos Orb,0.79296875,100.08188976377953,3.129235618597321,0.1167192429022082
Chaos Orb-Vaal Orb,0.73984375,248.40944881889763,15.121355397951143,
Orb of Scouring-Chaos Orb,0.70625,135.19212598425196,2.499605988967691,
Orb of Alchemy-Orb of Fusing,0.7046875,29.750393700787402,0.2293144208037825,
Chaos Orb-Orb of Regret,0.684375,121.61181102362205,7.304964539007092,
Chaos Orb-Gemcutter's Prism,0.61953125,87.98818897637796,6.200945626477542,0.04022082018927445
Chaos Orb-Regal Orb,0.590625,67.56456692913386,5.691095350669819,0.04574132492113565
Chaos Orb-Orb of Chance,0.528125,70.4,20.72655634357762,
Orb of Alchemy-Regal Orb,0.52109375,10.26535433070866,0.0338849487785658,
Chaos Orb-Cartographer's Chisel,0.51875,226.32755905511812,3.123719464144996,
Orb of Chance-Chaos Orb,0.51328125,56.088976377952754,8.710795902285264,
Orb of Alteration-Orb of Fusing,0.5125,28.806299212598425,0.22773837667454688,0.0007886435331230284
Exalted Orb-Chaos Orb,0.49609375,37.883464566929135,22.9779353821907,
Chromatic Orb-Orb of Fusing,0.44453125,33.34724409448819,2.1717888100866825,
Orb of Scouring-Orb of Fusing,0.43828125,11.751968503937007,0.07565011820330969,
Orb of Alteration-Jewellers Orb,0.41875,20.35511811023622,0.30181245074862095,
Chaos Orb-Exalted Orb,0.4171875,183.52992125984252,10.553191489361701,0.06861198738170347
Orb of Alchemy-Vaal Orb,0.359375,14.496062992125983,2.1678486997635935,
Orb of Alchemy-Jewellers Orb,0.35703125,43.55590551181103,0.8219070133963751,
Orb of Fusing-Cartographer's Chisel,0.34609375,16.91811023622047,1.095350669818755,
Orb of Fusing-Orb of Alchemy,0.3421875,24.038582677165355,1.6627265563435776,
Orb of Fusing-Exalted Orb,0.32890625,8.905511811023622,2.2907801418439715,
Orb of Fusing-Chromatic Orb,0.315625,18.066141732283466,3.1000788022064616,
Chaos Orb-Divine Orb,0.3140625,38.92755905511811,2.928289992119779,
Chromatic Orb-Jewellers Orb,0.30546875,103.98740157480314,1.565799842395587,
Jewellers Orb-Orb of Fusing,0.303125,25.11732283464567,0.4980299448384555,
Orb of Alteration-Cartographer's Chisel,0.2828125,22.56771653543307,0.14893617021276595,
Orb of Alchemy-Cartographer's Chisel,0.26640625,52.80866141732283,1.8904649330181245,
Orb of Alteration-Exalted Orb,0.265625,12.363779527559055,6.589440504334122,
Jewellers Orb-Chromatic Orb,0.26015625,14.013385826771653,2.635145784081954,
Orb of Fusing-Orb of Chance,0.259375,5.854330708661418,0.570527974783294,
Orb of Regret-Orb of Fusing,0.25625,16.34724409448819,0.17415287628053586,
Regal Orb-Orb of Fusing,0.25390625,11.518897637795275,0.3987391646966115,
Orb of Fusing-Vaal Orb,0.25078125,12.766141732283465,2.4862096138691885,
Exalted Orb-Orb of Fusing,0.24375,26.041732283464565,2.3624901497241924,
Orb of Alteration-Chromatic Orb,0.23203125,18.18267716535433,1.4168636721828212,
Vaal Orb-Orb of Fusing,0.225,31.418897637795276,0.8242710795902285,
Orb of Fusing-Orb of Alteration,0.21796875,29.911023622047246,1.219070133963751,
Orb of Alchemy-Orb of Scouring,0.17265625,21.191338582677165,0.07013396375098503,
Regal Orb-Orb of Alchemy,0.17265625,14.854330708661417,0.22537431048069345,
Orb of Chance-Orb of Fusing,0.15859375,2.873228346456693,0.07171000788022065,
Jewellers Orb-Vaal Orb,0.1546875,6.522834645669291,0.37667454688731283,
Chromatic Orb-Orb of Alchemy,0.15390625,34.90866141732283,1.3459416863672182,
Chromatic Orb-Orb of Alteration,0.15,80.6740157480315,2.2387706855791962,
Orb of Alchemy-Chromatic Orb,0.15,13.92755905511811,2.4192277383766747,
Orb of Fusing-Jewellers Orb,0.14296875,13.118110236220472,1.433412135539795,
Orb of Alteration-Orb of Regret,0.11875,19.943307086614173,0.09062253743104808,
Divine Orb-Chaos Orb,0.10703125,29.061417322834647,0.843183609141056,0.0007886435331230284
Orb of Alteration-Regal Orb,0.1015625,23.08976377952756,0.18360914105594955,
Chaos Orb-Orb of Transmutation,0.1015625,3.4204724409448817,0.28841607565011823,
Exalted Orb-Chromatic Orb,0.1,20.75984251968504,5.901497241922774,
Exalted Orb-Jewellers Orb,0.09296875,1.431496062992126,1.7990543735224587,
Orb of Transmutation-Chromatic Orb,0.09296875,0.4881889763779528,0.11583924349881797,
Orb of Scouring-Orb of Alchemy,0.08828125,21.761417322834646,0.37903861308116626,
Orb of Alteration-Orb of Alchemy,0.08046875,33.9,0.2458628841607565,
Orb of Fusing-Orb of Scouring,0.08046875,10.483464566929134,1.1804570527974783,
Vaal Orb-Cartographer's Chisel,0.0796875,31.003149606299214,0.8991331757289204,
Orb of Chance-Orb of Alchemy,0.0796875,4.301574803149606,4.487785657998424,
Gemcutter's Prism-Orb of Fusing,0.0734375,8.564566929133859,0.5996847911741529,
Vaal Orb-Chromatic Orb,0.07109375,22.200787401574804,2.0583136327817178,
Orb of Regret-Orb of Alteration,0.06953125,26.498425196850395,0.2718676122931442,
Orb of Alchemy-Divine Orb,0.06484375,3.043307086614173,0.014972419227738377,
Orb of Alteration-Orb of Scouring,0.0640625,23.710236220472442,0.02206461780929866,
Orb of Alchemy-Gemcutter's Prism,0.06328125,5.629133858267717,0.014184397163120567,
Orb of Regret-Orb of Alchemy,0.06171875,24.096062992125983,0.14026792750197006,
Chromatic Orb-Orb of Scouring,0.059375,16.707086614173228,0.29393223010244285,
Cartographer's Chisel-Orb of Fusing,0.05859375,28.874015748031496,0.2773837667454689,
Cartographer's Chisel-Vaal Orb,0.05546875,20.38976377952756,0.2568951930654058,
Chromatic Orb-Exalted Orb,0.0546875,4.2362204724409445,7.896769109535067,
Orb of Regret-Jewellers Orb,0.0546875,15.874015748031496,0.15130023640661938,
Divine Orb-Orb of Fusing,0.05390625,6.522047244094488,0.17888100866824272,
Orb of Alchemy-Orb of Alteration,0.05390625,36.59212598425197,0.8684003152088259,
Vaal Orb-Orb of Alchemy,0.0515625,37.46141732283465,0.8297872340425532,
Orb of Fusing-Regal Orb,0.05078125,4.353543307086614,0.10717100078802207,
Orb of Regret-Chromatic Orb,0.05078125,11.438582677165355,0.6319936958234831,
Orb of Chance-Jewellers Orb,0.04765625,11.422047244094488,0.9070133963750985,
Exalted Orb-Orb of Alteration,0.046875,12.6503937007874,0.5981087470449172,
Exalted Orb-Orb of Alchemy,0.04609375,23.53937007874016,3.099290780141844,
Divine Orb-Chromatic Orb,0.04609375,4.373228346456693,0.13869188337273444,
Orb of Regret-Orb of Scouring,0.04375,9.913385826771654,0.04964539007092199,
Divine Orb-Vaal Orb,0.04296875,3.825196850393701,0.4862096138691883,
Divine Orb-Orb of Alteration,0.04140625,3.6716535433070865,0.2994483845547675,
Gemcutter's Prism-Orb of Alchemy,0.04140625,8.948818897637794,0.8029944838455477,
Regal Orb-Cartographer's Chisel,0.03671875,11.509448818897638,2.3230890464933016,
Orb of Chance-Chromatic Orb,0.03671875,8.174015748031495,0.3191489361702128,
Chromatic Orb-Cartographer's Chisel,0.03515625,26.48503937007874,2.260835303388495,
Vaal Orb-Orb of Scouring,0.03515625,22.827559055118112,0.4980299448384555,
Divine Orb-Orb of Scouring,0.03359375,2.898425196850394,0.054373522458628844,
Gemcutter's Prism-Cartographer's Chisel,0.03203125,9.007874015748031,0.33490937746256894,
Regal Orb-Chromatic Orb,0.03203125,10.061417322834645,0.22537431048069345,
Cartographer's Chisel-Orb of Alchemy,0.03046875,33.722834645669295,0.26635145784081954,
Cartographer's Chisel-Chromatic Orb,0.03046875,24.551181102362204,0.7155240346729709,
Orb of Scouring-Chromatic Orb,0.03046875,11.2,0.19227738376674547,
Divine Orb-Orb of Alchemy,0.02890625,4.864566929133859,0.06855791962174941,
Gemcutter's Prism-Chromatic Orb,0.028125,6.798425196850394,0.36958234830575254,
Orb of Chance-Orb of Alteration,0.02734375,21.64015748031496,0.4736012608353034,
Orb of Regret-Orb of Chance,0.025,3.746456692913386,0.3561859732072498,
Orb of Alchemy-Exalted Orb,0.02421875,6.417322834645669,1.2584712371946414,
Gemcutter's Prism-Orb of Alteration,0.02421875,14.411023622047244,0.4562647754137116,
Orb of Scouring-Cartographer's Chisel,0.0234375,21.949606299212597,0.09613869188337273,
Cartographer's Chisel-Orb of Alteration,0.0234375,31.885826771653544,0.578408195429472,
Orb of Scouring-Vaal Orb,0.0234375,7.222834645669291,0.003940110323089046,
Chromatic Orb-Orb of Regret,0.02265625,13.733858267716535,0.37667454688731283,
Chromatic Orb-Regal Orb,0.02265625,25.214173228346457,0.2466509062253743,
Vaal Orb-Orb of Alteration,0.02265625,30.25748031496063,1.603624901497242,
Divine Orb-Orb of Regret,0.021875,4.040157480314961,0.026004728132387706,
Exalted Orb-Orb of Regret,0.021875,25.866141732283463,1.0394011032308905,
Orb of Scouring-Orb of Chance,0.021875,4.864566929133859,0.30102442868400314,
Orb of Regret-Vaal Orb,0.021875,15.635433070866142,1.8368794326241136,
Jewellers Orb-Orb of Scouring,0.02109375,9.266141732283465,0.04728132387706856,
Jewellers Orb-Cartographer's Chisel,0.02109375,8.811023622047244,0.3656422379826635,
Orb of Chance-Cartographer's Chisel,0.01953125,5.960629921259843,0.07565011820330969,
Divine Orb-Cartographer's Chisel,0.01875,4.490551181102362,0.11032308904649331,
Exalted Orb-Divine Orb,0.01796875,6.511023622047244,1.0606776989755713,
Orb of Scouring-Orb of Alteration,0.01796875,42.88267716535433,0.39322301024428685,
Orb of Regret-Cartographer's Chisel,0.0171875,17.600787401574802,4.791962174940898,
Exalted Orb-Cartographer's Chisel,0.0171875,32.86929133858268,0.8581560283687943,
Orb of Alteration-Vaal Orb,0.015625,26.68503937007874,2.6966115051221435,
Chromatic Orb-Orb of Chance,0.0140625,5.511811023622047,2.8274231678487,
Gemcutter's Prism-Regal Orb,0.01171875,5.939370078740158,0.7029156816390859,0.002365930599369085
Jewellers Orb-Orb of Chance,0.01171875,1.3456692913385826,0.4594168636721828,
Orb of Alteration-Orb of Chance,0.0109375,3.711023622047244,0.38534278959810875,
Divine Orb-Exalted Orb,0.01015625,5.735433070866142,1.8888888888888888,
Jewellers Orb-Orb of Regret,0.009375,6.723622047244095,0.47675334909377465,
Orb of Alchemy-Orb of Chance,0.00859375,5.217322834645669,0.46099290780141844,
Exalted Orb-Orb of Chance,0.00859375,2.500787401574803,8.994483845547675,
Orb of Alteration-Divine Orb,0.0078125,11.165354330708661,0.014184397163120567,0.0007886435331230284
